№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
505;Курчатов ;Курская область ;Центральный ;42691;1968
389;Качканар ;Свердловская область ;Уральский ;42563;1957
822;Салехард ;Ямало-Ненецкий АО ;Уральский ;42494;1595
286;Ефремов ;Тульская область ;Центральный ;42350;1637
915;Стрежевой ;Томская область ;Сибирский ;42216;1966
11;Аксай ;Ростовская область ;Южный ;41984;1957
739;Переславль-Залесский ;Ярославская область ;Центральный ;41923;1152
54;Ахтубинск ;Астраханская область ;Южный ;41898;1959
391;Кашира ;Московская область ;Центральный ;41880;1356
303;Заинск ;Татарстан ;Приволжский ;41798;1656
366;Камень-на-Оби ;Алтайский край ;Сибирский ;41787;1751
878;Советск ;Калининградская область ;Северо-Западный ;41709;1288
785;Пугачёв ;Саратовская область ;Приволжский ;41705;1764
517;Лангепас ;Ханты-Мансийский АО — Югра ;Уральский ;41675;1980
104;Бирск ;Башкортостан ;Приволжский ;41637;1663
999;Урюпинск ;Волгоградская область ;Южный ;41594;1618
602;Моршанск ;Тамбовская область ;Центральный ;41550;1623
792;Пыть-Ях ;Ханты-Мансийский АО — Югра ;Уральский ;41453;1968
438;Конаково ;Тверская область ;Центральный ;41303;1806
809;Ртищево ;Саратовская область ;Приволжский ;41295;1666
195;Вязники ;Владимирская область ;Центральный ;41252;1608
444;Кореновск ;Краснодарский край ;Южный ;41179;1794
1000;Усинск ;Коми ;Северо-Западный ;41100;1966
980;Тутаев ;Ярославская область ;Центральный ;41001;13 век
479;Красный Сулин ;Ростовская область ;Южный ;40866;1797
834;Саянск ;Иркутская область ;Сибирский ;40786;1970
661;Новодвинск ;Архангельская область ;Северо-Западный ;40612;1936
662;Новозыбков ;Брянская область ;Центральный ;40552;1701
548;Людиново ;Калужская область ;Центральный ;40550;1626
336;Изобильный ;Ставропольский край ;Северо-Кавказский ;40546;1895
566;Мариинск ;Кемеровская область ;Сибирский ;40522;1698
1055;Черняховск ;Калининградская область ;Северо-Западный ;40464;1336
301;Заволжье ;Нижегородская область ;Приволжский ;40265;1950
35;Апшеронск ;Краснодарский край ;Южный ;40229;1863
476;Красноуфимск ;Свердловская область ;Уральский ;39765;1736
449;Коряжма ;Архангельская область ;Северо-Западный ;39629;1535
362;Каменка ;Пензенская область ;Приволжский ;39579;18 век
278;Елизово ;Камчатский край ;Дальневосточный ;39548;1848
1019;Фролово ;Волгоградская область ;Южный ;39489;1859
995;Урай ;Ханты-Мансийский АО — Югра ;Уральский ;39435;1922
123;Большой Камень ;Приморский край ;Дальневосточный ;39257;1947
969;Тосно ;Ленинградская область ;Северо-Западный ;39127;1500
20;Алексеевка ;Белгородская область ;Центральный ;39026;1685
445;Коркино ;Челябинская область ;Уральский ;38950;1795
509;Кыштым ;Челябинская область ;Уральский ;38950;1757
549;Лянтор ;Ханты-Мансийский АО — Югра ;Уральский ;38922;1932
599;Моздок ;Северная Осетия — Алания ;Северо-Кавказский ;38748;1763
800;Реж ;Свердловская область ;Уральский ;38709;1773
732;Партизанск ;Приморский край ;Дальневосточный ;38648;1896
248;Джанкой ;Крым ;Южный ;38622;1784
1067;Шарыпово ;Красноярский край ;Сибирский ;38570;18 век
836;Светлоград ;Ставропольский край ;Северо-Кавказский ;38520;1786
883;Сокол ;Вологодская область ;Северо-Западный ;38454;1615
343;Ирбит ;Свердловская область ;Уральский ;38352;1631
202;Гай ;Оренбургская область ;Приволжский ;38302;1959
14;Алатырь ;Чувашия ;Приволжский ;38202;1552
13;Алапаевск ;Свердловская область ;Уральский ;38198;1639
954;Темрюк ;Краснодарский край ;Южный ;38014;1860
1098;Южноуральск ;Челябинская область ;Уральский ;37890;1948
1013;Учалы ;Башкортостан ;Приволжский ;37771;1955
165;Вичуга ;Ивановская область ;Центральный ;37609;1925
239;Дальнегорск ;Приморский край ;Дальневосточный ;37503;1897
782;Протвино ;Московская область ;Центральный ;37308;1960
589;Мирный ;Якутия ;Дальневосточный ;37179;1955
643;Нижнеудинск ;Иркутская область ;Сибирский ;37056;1648
526;Лесозаводск ;Приморский край ;Дальневосточный ;36975;1932
64;Баксан ;Кабардино-Балкария ;Северо-Кавказский ;36857;1891
99;Беслан ;Северная Осетия — Алания ;Северо-Кавказский ;36724;1847
1107;Ялуторовск ;Тюменская область ;Уральский ;36494;1659
585;Миллерово ;Ростовская область ;Южный ;36493;1786
537;Луга ;Ленинградская область ;Северо-Западный ;36409;1777
397;Кизилюрт ;Дагестан ;Северо-Кавказский ;36187;1963
1021;Фурманов ;Ивановская область ;Центральный ;36149;1918
468;Краснознаменск ;Московская область ;Центральный ;36057;1952
319;Зеленокумск ;Ставропольский край ;Северо-Кавказский ;35790;1781
493;Кулебаки ;Нижегородская область ;Приволжский ;35762;1677-1678
258;Добрянка ;Пермский край ;Приволжский ;35720;1623
372;Кандалакша ;Мурманская область ;Северо-Западный ;35659;11 век
981;Тында ;Амурская область ;Дальневосточный ;35574;1907
941;Тайшет ;Иркутская область ;Сибирский ;35481;1897
938;Тавда ;Свердловская область ;Уральский ;35421;1910
859;Сердобск ;Пензенская область ;Приволжский ;35393;1698
142;Валуйки ;Белгородская область ;Центральный ;35322;1593
230;Гулькевичи ;Краснодарский край ;Южный ;35225;1875
197;Вятские Поляны ;Кировская область ;Приволжский ;35159;1596
347;Истра ;Московская область ;Центральный ;35106;1589
952;Тейково ;Ивановская область ;Центральный ;34993;17 век
4;Абинск ;Краснодарский край ;Южный ;34926;1863
8;Азнакаево ;Татарстан ;Приволжский ;34859;1762
663;Новокубанск ;Краснодарский край ;Южный ;34847;1867
932;Сухой Лог ;Свердловская область ;Уральский ;34836;1710
987;Углич ;Ярославская область ;Центральный ;34505;1148
402;Кинель ;Самарская область ;Приволжский ;34472;1837
107;Благовещенск ;Башкортостан ;Приволжский ;34246;1756
1094;Югорск ;Ханты-Мансийский АО — Югра ;Уральский ;34066;1962
872;Слободской ;Кировская область ;Приволжский ;33983;1505
722;Острогожск ;Воронежская область ;Центральный ;33842;1652
971;Трёхгорный ;Челябинская область ;Уральский ;33678;1952
871;Сланцы ;Ленинградская область ;Северо-Западный ;33587;1934
448;Корсаков ;Сахалинская область ;Дальневосточный ;33526;1853
384;Касимов ;Рязанская область ;Центральный ;33494;1152
1080;Шумерля ;Чувашия ;Приволжский ;33412;1916
605;Муравленко ;Ямало-Ненецкий АО ;Уральский ;33401;1984
1054;Чернушка ;Пермский край ;Приволжский ;33275;1854
895;Сосновоборск ;Красноярский край ;Сибирский ;33090;1971
507;Кушва ;Свердловская область ;Уральский ;33027;1735
439;Кондопога ;Карелия ;Северо-Западный ;32978;1563
48;Артёмовский ;Свердловская область ;Уральский ;32878;1665
1069;Шатура ;Московская область ;Центральный ;32836;1423
109;Благодарный ;Ставропольский край ;Северо-Кавказский ;32736;1782
71;Балтийск ;Калининградская область ;Северо-Западный ;32670;1626
660;Нововоронеж ;Воронежская область ;Центральный ;32635;1957
688;Нурлат ;Татарстан ;Приволжский ;32600;1905
322;Зима ;Иркутская область ;Сибирский ;32522;1743
453;Котельники ;Московская область ;Центральный ;32347;17 век
778;Приморско-Ахтарск ;Краснодарский край ;Южный ;32253;1854
909;Старая Русса ;Новгородская область ;Северо-Западный ;32235;1167
341;Инта ;Коми ;Северо-Западный ;32021;1940
56;Аша ;Челябинская область ;Уральский ;31916;1898
112;Богородицк ;Тульская область ;Центральный ;31897;1663
409;Киров ;Калужская область ;Центральный ;31888;1745
458;Котовск ;Тамбовская область ;Центральный ;31851;1940
807;Ростов ;Ярославская область ;Центральный ;31791;862
111;Богданович ;Свердловская область ;Уральский ;31752;1885
200;Гагарин ;Смоленская область ;Центральный ;31721;1705
623;Нарткала ;Кабардино-Балкария ;Северо-Кавказский ;31679;1913
146;Великий Устюг ;Вологодская область ;Северо-Западный ;31664;1147
568;Маркс ;Саратовская область ;Приволжский ;31535;1918
597;Можайск ;Московская область ;Центральный ;31388;1231
125;Борзя ;Забайкальский край ;Сибирский ;31376;1899
529;Ликино-Дулёво ;Московская область ;Центральный ;31331;1930
270;Дюртюли ;Башкортостан ;Приволжский ;31272;1795
743;Петровск ;Саратовская область ;Приволжский ;31158;1698
376;Карабулак ;Ингушетия ;Северо-Кавказский ;31081;1859
559;Малгобек ;Ингушетия ;Северо-Кавказский ;31076;1934
989;Удомля ;Тверская область ;Центральный ;31048;1478
1032;Холмск ;Сахалинская область ;Дальневосточный ;30936;1870
489;Кудымкар ;Пермский край ;Приволжский ;30711;1579
215;Городец ;Нижегородская область ;Приволжский ;30699;12 век
237;Дагестанские Огни ;Дагестан ;Северо-Кавказский ;30671;1914
1005;Усть-Джегута ;Карачаево-Черкесия ;Северо-Кавказский ;30602;1868
153;Верхний Уфалей ;Челябинская область ;Уральский ;30504;1761
562;Малоярославец ;Калужская область ;Центральный ;30401;1402
867;Скопин ;Рязанская область ;Центральный ;30374;1676
868;Славгород ;Алтайский край ;Сибирский ;30370;1910
590;Мирный ;Архангельская область ;Северо-Западный ;30259;1957
72;Барабинск ;Новосибирская область ;Сибирский ;30250;1893
280;Еманжелинск ;Челябинская область ;Уральский ;30218;1931
890;Сорочинск ;Оренбургская область ;Приволжский ;30136;1737
219;Горячий Ключ ;Краснодарский край ;Южный ;30093;1868
406;Киржач ;Владимирская область ;Центральный ;30044;1332
540;Луховицы ;Московская область ;Центральный ;29849;1594
247;Десногорск ;Смоленская область ;Центральный ;29677;1974
850;Сегежа ;Карелия ;Северо-Западный ;29660;1914
37;Аргун ;Чечня ;Северо-Кавказский ;29528;18 век
271;Дятьково ;Брянская область ;Центральный ;29438;1626
459;Кохма ;Ивановская область ;Центральный ;29408;1619
326;Знаменск ;Астраханская область ;Южный ;29357;1948
244;Дедовск ;Московская область ;Центральный ;29280;1911
847;Североуральск ;Свердловская область ;Уральский ;29279;1758
383;Карталы ;Челябинская область ;Уральский ;29136;1810
382;Карпинск ;Свердловская область ;Уральский ;29118;1759
24;Алушта ;Крым ;Южный ;29078;6 век
377;Карасук ;Новосибирская область ;Сибирский ;28929;1912
414;Кировск ;Мурманская область ;Северо-Западный ;28659;1929
966;Топки ;Кемеровская область ;Сибирский ;28642;1914
16;Алейск ;Алтайский край ;Сибирский ;28528;1913
399;Кимовск ;Тульская область ;Центральный ;28493;17 век
451;Костомукша ;Карелия ;Северо-Западный ;28433;1977
251;Дивногорск ;Красноярский край ;Сибирский ;28271;1956
233;Гусев ;Калининградская область ;Северо-Западный ;28260;16 век
770;Похвистнево ;Самарская область ;Приволжский ;28181;1888
830;Сасово ;Рязанская область ;Центральный ;28117;1642
897;Сосногорск ;Коми ;Северо-Западный ;27809;1939
881;Советская Гавань ;Хабаровский край ;Дальневосточный ;27712;1853
638;Нефтекумск ;Ставропольский край ;Северо-Кавказский ;27700;1958
601;Морозовск ;Ростовская область ;Южный ;27644;1910
765;Полысаево ;Кемеровская область ;Сибирский ;27624;1989
240;Дальнереченск ;Приморский край ;Дальневосточный ;27601;1859
225;Губаха ;Пермский край ;Приволжский ;27544;1755
76;Бахчисарай ;Крым ;Южный ;27448;1532
573;Медногорск ;Оренбургская область ;Приволжский ;27253;1933
702;Октябрьск ;Самарская область ;Приволжский ;27244;1684
140;Бутурлиновка ;Воронежская область ;Центральный ;27208;1740
1108;Янаул ;Башкортостан ;Приволжский ;26988;1914
512;Лабытнанги ;Ямало-Ненецкий АО ;Уральский ;26948;1890
354;Калач-на-Дону ;Волгоградская область ;Южный ;26892;1708
370;Камышлов ;Свердловская область ;Уральский ;26875;1668
320;Зерноград ;Ростовская область ;Южный ;26850;1929
985;Уварово ;Тамбовская область ;Центральный ;26829;1699
311;Заречный ;Свердловская область ;Уральский ;26803;1955
657;Новоалександровск ;Ставропольский край ;Северо-Кавказский ;26759;1804
554;Майский ;Кабардино-Балкария ;Северо-Кавказский ;26755;19 век
945;Тара ;Омская область ;Сибирский ;26664;1594
668;Новопавловск ;Ставропольский край ;Северо-Кавказский ;26556;1777
882;Советский ;Ханты-Мансийский АО — Югра;Уральский ;26434;1963
65;Балабаново ;Калужская область ;Центральный ;26337;1584
803;Родники ;Ивановская область ;Центральный ;26318;1606
887;Соль-Илецк ;Оренбургская область ;Приволжский ;26308;1754
461;Красноармейск ;Московская область ;Центральный ;26294;1928
471;Красноперекопск ;Крым ;Южный ;26268;1932
994;Унеча ;Брянская область ;Центральный ;26196;1887
486;Кувандык ;Оренбургская область ;Приволжский ;26176;19 век
697;Обь ;Новосибирская область ;Сибирский ;26137;1934
290;Железногорск-Илимский ;Иркутская область ;Сибирский ;26134;1948
948;Татарск ;Новосибирская область ;Сибирский ;26114;1894
342;Ипатово ;Ставропольский край ;Северо-Кавказский ;26055;1860
854;Семилуки ;Воронежская область ;Центральный ;26025;1615
345;Исилькуль ;Омская область ;Сибирский ;25905;1895
701;Озёры ;Московская область ;Центральный ;25788;1834
138;Буй ;Костромская область ;Центральный ;25763;1536
299;Заводоуковск ;Тюменская область ;Уральский ;25657;1729
413;Кировск ;Ленинградская область ;Северо-Западный ;25633;1931
53;Аткарск ;Саратовская область ;Приволжский ;25620;18 век
51;Асино ;Томская область ;Сибирский ;25614;1896
404;Киреевск ;Тульская область ;Центральный ;25585;1762
113;Богородск ;Нижегородская область ;Приволжский ;25497;1570
940;Тайга ;Кемеровская область ;Сибирский ;25330;1896
629;Невьянск ;Свердловская область ;Уральский ;25147;1701
819;Саки ;Крым ;Южный ;25146;1952
729;Павловск ;Воронежская область ;Центральный ;25126;1709
321;Зея ;Амурская область ;Дальневосточный ;25042;1879
455;Котельнич ;Кировская область ;Приволжский ;24979;1143
475;Красноуральск ;Свердловская область ;Уральский ;24973;1925
523;Ленск ;Якутия ;Дальневосточный ;24955;1663
232;Гурьевск ;Кемеровская область ;Сибирский ;24816;1816
309;Зарайск ;Московская область ;Центральный ;24648;1146
77;Бежецк ;Тверская область ;Центральный ;24517;1137
287;Железноводск ;Ставропольский край ;Северо-Кавказский ;24496;1810
852;Семёнов ;Нижегородская область ;Приволжский ;24472;1644
462;Красноармейск ;Саратовская область ;Приволжский ;24362;1765
433;Колпашево ;Томская область ;Сибирский ;24126;17 век
457;Котово ;Волгоградская область ;Южный ;24104;1710-е
236;Давлеканово ;Башкортостан ;Приволжский ;24040;18 век
355;Калачинск ;Омская область ;Сибирский ;24000;1952
916;Строитель ;Белгородская область ;Центральный ;23933;1958
147;Вельск ;Архангельская область ;Северо-Западный ;23885;1137
853;Семикаракорск ;Ростовская область ;Южный ;23884;1672
723;Отрадное ;Ленинградская область ;Северо-Западный ;23874;1708
378;Карачаевск ;Карачаево-Черкесия ;Северо-Кавказский ;23848;1926
1018;Фокино ;Приморский край ;Дальневосточный ;23683;1891
844;Северобайкальск ;Бурятия ;Сибирский ;23673;1974
1068;Шарья ;Костромская область ;Центральный ;23668;1906
709;Омутнинск ;Кировская область ;Приволжский ;23618;1773
1007;Усть-Катав ;Челябинская область ;Уральский ;23586;1758
119;Бологое ;Тверская область ;Центральный ;23499;1495
176;Волоколамск ;Московская область ;Центральный ;23386;1135
227;Губкинский ;Ямало-Ненецкий АО ;Уральский ;23340;1986
234;Гусиноозёрск ;Бурятия ;Сибирский ;23280;1939
949;Таштагол ;Кемеровская область ;Сибирский ;23114;1939
706;Оленегорск ;Мурманская область ;Северо-Западный ;23079;1949
725;Оха ;Сахалинская область ;Дальневосточный ;23007;1908
485;Кубинка ;Московская область ;Центральный ;22918;15 век
163;Вилючинск ;Камчатский край ;Дальневосточный ;22905;1968
630;Нелидово ;Тверская область ;Центральный ;22886;1900
632;Нерехта ;Костромская область ;Центральный ;22817;1214
651;Николаевск-на-Амуре ;Хабаровский край ;Дальневосточный ;22773;1850
149;Верещагино ;Пермский край ;Приволжский ;22760;1898
504;Курчалой ;Чечня ;Северо-Кавказский ;22723;2018
645;Нижний Ломов ;Пензенская область ;Приволжский ;22678;1636
536;Лосино-Петровский ;Московская область ;Центральный ;22550;1708
524;Лермонтов ;Ставропольский край ;Северо-Кавказский ;22540;1953
164;Вихоревка ;Иркутская область ;Сибирский ;22528;1957
653;Никольск ;Пензенская область ;Приволжский ;22471;1761
717;Оса ;Пермский край ;Приволжский ;22420;1591
315;Зверево ;Ростовская область ;Южный ;22416;1819
693;Няндома ;Архангельская область ;Северо-Западный ;22354;1898
268;Дудинка ;Красноярский край ;Сибирский ;22207;1667
1088;Электрогорск ;Московская область ;Центральный ;22120;1912
59;Бавлы ;Татарстан ;Приволжский ;22109;1658
580;Менделеевск ;Татарстан ;Приволжский ;22075;1868
43;Армянск ;Крым ;Южный ;21987;1736
411;Кировград ;Свердловская область ;Уральский ;21959;1661
358;Калтан ;Кемеровская область ;Сибирский ;21893;1946
541;Лысково ;Нижегородская область ;Приволжский ;21882;1410
908;Старая Купавна ;Московская область ;Центральный ;21859;14 век
501;Куровское ;Московская область ;Центральный ;21821;1646
817;Ряжск ;Рязанская область ;Центральный ;21676;1502
720;Остров ;Псковская область ;Северо-Западный ;21670;1341
1033;Хотьково ;Московская область ;Центральный ;21612;1308
649;Нижняя Тура ;Свердловская область ;Уральский ;21596;1754
1023;Хадыженск ;Краснодарский край ;Южный ;21580;1864
751;Пикалёво ;Ленинградская область ;Северо-Западный ;21567;1620
961;Тогучин ;Новосибирская область ;Сибирский ;21531;1867
544;Льгов ;Курская область ;Центральный ;21452;1152
284;Ершов ;Саратовская область ;Приволжский ;21447;1893
857;Сергач ;Нижегородская область ;Приволжский ;21387;1649
837;Светлый ;Калининградская область ;Северо-Западный ;21380;1640
710;Онега ;Архангельская область ;Северо-Западный ;21359;1137
1071;Шахунья ;Нижегородская область ;Приволжский ;21337;1921
424;Ковылкино ;Мордовия ;Приволжский ;21307;1892
624;Нарьян-Мар ;Ненецкий АО ;Северо-Западный ;21296;1929
15;Алдан ;Якутия ;Дальневосточный ;21277;1924
808;Рошаль ;Московская область ;Центральный ;21265;1916
429;Козьмодемьянск ;Марий Эл ;Приволжский ;21262;1583
131;Бронницы ;Московская область ;Центральный ;21102;1453
242;Данков ;Липецкая область ;Центральный ;21056;1563
535;Лодейное Поле ;Ленинградская область ;Северо-Западный ;21053;1702
114;Боготол ;Красноярский край ;Сибирский ;21029;1893
982;Тырныауз ;Кабардино-Балкария ;Северо-Кавказский ;21000;1934
519;Лебедянь ;Липецкая область ;Центральный ;20991;1605
1052;Черноголовка ;Московская область ;Центральный ;20986;1710
63;Бакал ;Челябинская область ;Уральский ;20953;1757
12;Алагир ;Северная Осетия — Алания ;Северо-Кавказский ;20949;1850
3;Абдулино ;Оренбургская область ;Приволжский ;20663;1795
935;Сысерть ;Свердловская область ;Уральский ;20594;1732
928;Суровикино ;Волгоградская область ;Южный ;20527;1744
796;Райчихинск ;Амурская область ;Дальневосточный ;20499;1932
454;Котельниково ;Волгоградская область ;Южный ;20441;1897
946;Тарко-Сале ;Ямало-Ненецкий АО ;Уральский ;20372;1932
905;Среднеуральск ;Свердловская область ;Уральский ;20357;1931
137;Буинск ;Татарстан ;Приволжский ;20342;1691
93;Белоярский ;Ханты-Мансийский АО — Югра ;Уральский ;20283;1969
396;Кизел ;Пермский край ;Приволжский ;20277;1750
781;Пролетарск ;Ростовская область ;Южный ;20267;17 век
435;Коммунар ;Ленинградская область ;Северо-Западный ;20265;1840-е
790;Пущино ;Московская область ;Центральный ;20263;1956
1090;Электроугли ;Московская область ;Центральный ;20120;1899
353;Калач ;Воронежская область ;Центральный ;20046;1716
510;Кяхта ;Бурятия ;Сибирский ;20013;1727
1077;Шимановск ;Амурская область ;Дальневосточный ;19815;1910
110;Бобров ;Воронежская область ;Центральный ;19738;1698
379;Карачев ;Брянская область ;Центральный ;19715;1146
1100;Юрьев-Польский ;Владимирская область ;Центральный ;19588;1152
682;Новый Оскол ;Белгородская область ;Центральный ;19530;1647
877;Собинка ;Владимирская область ;Центральный ;19482;1858
1048;Черепаново ;Новосибирская область ;Сибирский ;19346;1912
654;Никольское ;Ленинградская область ;Северо-Западный ;19345;1710
666;Новомичуринск ;Рязанская область ;Центральный ;19309;1968
6;Агрыз ;Татарстан ;Приволжский ;19299;1646
892;Сортавала ;Карелия ;Северо-Западный ;19215;1468
955;Терек ;Кабардино-Балкария ;Северо-Кавказский ;19170;1876
689;Нытва ;Пермский край ;Приволжский ;19041;1756
911;Стародуб ;Брянская область ;Центральный ;19010;1080
919;Суворов ;Тульская область ;Центральный ;18975;1949
779;Приозерск ;Ленинградская область ;Северо-Западный ;18929;12 век
422;Ковдор ;Мурманская область ;Северо-Западный ;18836;1953
506;Куса ;Челябинская область ;Уральский ;18792;1778
39;Ардон ;Северная Осетия — Алания ;Северо-Кавказский ;18774;1824
282;Енисейск ;Красноярский край ;Сибирский ;18769;1619
1001;Усмань ;Липецкая область ;Центральный ;18752;1645
636;Нефтегорск ;Самарская область ;Приволжский ;18732;1960
759;Подпорожье ;Ленинградская область ;Северо-Западный ;18729;1936
744;Петровск-Забайкальский ;Забайкальский край ;Сибирский ;18555;1789
338;Инза ;Ульяновская область ;Приволжский ;18547;1897
873;Слюдянка ;Иркутская область ;Сибирский ;18542;1899
34;Апрелевка ;Московская область ;Центральный ;18467;1899
815;Рыбное ;Рязанская область ;Центральный ;18378;1597
943;Талица ;Свердловская область ;Уральский ;18339;1732
296;Жуковка ;Брянская область ;Центральный ;18269;1871
794;Радужный ;Владимирская область ;Центральный ;18212;1971
1025;Харабали ;Астраханская область ;Южный ;18209;1789
427;Козельск ;Калужская область ;Центральный ;18203;12 век
45;Арск ;Татарстан ;Приволжский ;18114;13 век
1110;Яровое ;Алтайский край ;Сибирский ;18085;1943
719;Осташков ;Тверская область ;Центральный ;18073;14 век
979;Туринск ;Свердловская область ;Уральский ;17990;1600
1043;Чегем ;Кабардино-Балкария ;Северо-Кавказский ;17988;1822
648;Нижняя Салда ;Свердловская область ;Уральский ;17969;1760
771;Почеп ;Брянская область ;Центральный ;17933;1447
851;Сельцо ;Брянская область ;Центральный ;17933;1870-е
441;Константиновск ;Ростовская область ;Южный ;17926;1864
659;Новоаннинский ;Волгоградская область ;Южный ;17911;1956
1081;Шумиха ;Курганская область ;Уральский ;17821;1892
199;Гаврилов-Ям ;Ярославская область ;Центральный ;17792;1545
332;Ивдель ;Свердловская область ;Уральский ;17764;1831
761;Покров ;Владимирская область ;Центральный ;17762;1506
62;Баймак ;Башкортостан ;Приволжский ;17710;1748
492;Кукмор ;Татарстан ;Приволжский ;17700;1741
757;Поворино ;Воронежская область ;Центральный ;17692;1870
